Bandit,Reward,Algorithm
1.0,2.9848252463999465,EpsilonGreedy
2.0,3.522446560795698,EpsilonGreedy
2.0,5.371218080632804,EpsilonGreedy
2.0,3.810143306809038,EpsilonGreedy
2.0,2.346156627533237,EpsilonGreedy
2.0,1.3351331252932819,EpsilonGreedy
2.0,2.108667429311482,EpsilonGreedy
2.0,4.425760093933343,EpsilonGreedy
2.0,1.9362369882257893,EpsilonGreedy
2.0,3.2090953720232904,EpsilonGreedy
0.0,0.6575181995942102,EpsilonGreedy
2.0,5.253050417803929,EpsilonGreedy
2.0,2.1685192104454822,EpsilonGreedy
1.0,3.4242117027372876,EpsilonGreedy
2.0,2.069016057367004,EpsilonGreedy
1.0,3.3222871723960328,EpsilonGreedy
1.0,2.527234037891243,EpsilonGreedy
2.0,2.354076769893087,EpsilonGreedy
2.0,3.1694974390256374,EpsilonGreedy
2.0,3.1247991539830875,EpsilonGreedy
2.0,2.9095885585970303,EpsilonGreedy
2.0,3.942570826075894,EpsilonGreedy
2.0,3.163388539934242,EpsilonGreedy
2.0,2.6326063305750904,EpsilonGreedy
2.0,2.418694809432967,EpsilonGreedy
1.0,2.9690816443951964,EpsilonGreedy
2.0,2.779051767762879,EpsilonGreedy
2.0,3.159592761495392,EpsilonGreedy
2.0,2.76625891739115,EpsilonGreedy
1.0,2.6238512740344424,EpsilonGreedy
2.0,3.684232839815001,EpsilonGreedy
2.0,4.116653265350894,EpsilonGreedy
2.0,3.3155062820854138,EpsilonGreedy
2.0,5.708909261119583,EpsilonGreedy
2.0,3.180202878625151,EpsilonGreedy
2.0,2.311559420643311,EpsilonGreedy
2.0,1.636686531571762,EpsilonGreedy
2.0,2.9647320001350086,EpsilonGreedy
2.0,2.0782634371960444,EpsilonGreedy
2.0,2.41129912499186,EpsilonGreedy
2.0,4.163226937255625,EpsilonGreedy
2.0,3.2107547741618463,EpsilonGreedy
2.0,2.265141162553504,EpsilonGreedy
2.0,4.681499247289666,EpsilonGreedy
